azs	region	type_place	location
АЗС-1	АЗС - Київської області	ДорогаРайонногоЗначення	В'їзд у та виїзд з міста (села)
АЗС-2	АЗС - Київської області	ОбласнийЦентр	В'їзд у місто (село)
АЗС-3	АЗС - Київської області	ОбласнийЦентр	Виїзд з міста (села)
АЗС-4	АЗС - Київської області	ДорогаРайонногоЗначення	Центр міста (села)
АЗС-5	АЗС - Київської області	ДорогаРайонногоЗначення	Виїзд з міста (села)
АЗС-6	АЗС - Київської області	ОбласнийЦентр	Індустріальна зона
АЗС-7	АЗС - Черкаської області (напрямок Київ-Одеса)	ДорогаМіжнародногоЗначення	На трасі
АЗС-8	АЗС - Київської області	ДорогаМіжнародногоЗначення	На трасі
АЗС-9	АЗС - Кіровоградської області	ДорогаМіжнародногоЗначення	Індустріальна зона
АЗС-10	АЗС - Черкаської області	ДорогаМіжнародногоЗначення	На трасі
АЗС-11	АЗС - Черкаської області (напрямок Київ-Одеса)	ДорогаМіжнародногоЗначення	В'їзд у місто (село)
АЗС-12	АЗС - Київської області	ОбласнийЦентр	Індустріальна зона
АЗС-13	АЗС - Київської області	ОбласнийЦентр	Житловий район
АЗС-14	АЗС - Київської області	ДорогаРайонногоЗначення	Виїзд з міста (села)
АЗС-15	АЗС - Черкаської області	ДорогаРайонногоЗначення	В'їзд у місто (село)
АЗС-16	АЗС - Київської області	ОбласнийЦентр	Центр міста (села)
АЗС-17	АЗС - Київської області	ДорогаРайонногоЗначення	Індустріальна зона
АЗС-18	АЗС - Черкаської області (напрямок Київ-Одеса)	ДорогаМіжнародногоЗначення	На трасі
АЗС-19	АЗС - Черкаської області (напрямок Київ-Одеса)	ДорогаМіжнародногоЗначення	На трасі
АЗС-20	АЗС - Черкаської області	ОбласнийЦентр	Виїзд з міста (села)
АЗС-21	АЗС - Київської області	ОбласнийЦентр	Житловий район
АЗС-22	АЗС - Київської області	ДорогаРайонногоЗначення	Виїзд з міста (села)
АЗС-23	АЗС - Миколаївської області	ДорогаМіжнародногоЗначення	На трасі
АЗС-24	АЗС - Кіровоградської області	ОбласнийЦентр	В'їзд у місто (село)
АЗС-25	АЗС - Черкаської області	ОбласнийЦентр	В'їзд у місто (село)
АЗС-26	АЗС - Черкаської області	ОбласнийЦентр	В'їзд у місто (село)
АЗС-27	АЗС - Кіровоградської області	ОбласнийЦентр	Виїзд з міста (села)
АЗС-28	АЗС - Київської області	ДорогаРайонногоЗначення	Об'їзна дорога
АЗС-29	АЗС - Запорізької області	ДорогаМіжнародногоЗначення	В'їзд у місто (село)
АЗС-30	АЗС - Тернопільської області	ОбласнийЦентр	В'їзд у місто (село)
АЗС-31	АЗС - Одеської області	ОбласнийЦентр	Центр міста (села)
АЗС-32	АЗС - Одеської області	ОбласнийЦентр	Центр міста (села)
АЗС-33	АЗС - Рівненської області	ОбласнийЦентр	В'їзд у та виїзд з міста (села)
АЗС-34	АЗС - Львівської області	ДорогаМіжнародногоЗначення	На трасі
АЗС-35	АЗС - Житомирської області	ОбласнийЦентр	Виїзд з міста (села)
АЗС-36	АЗС - Закарпатської області	ДорогаРайонногоЗначення	Виїзд з міста (села)
АЗС-37	АЗС - Тернопільської області	ДорогаРайонногоЗначення	Центр міста (села)
АЗС-38	АЗС - Волинської області	ДорогаРайонногоЗначення	В'їзд у місто (село)
АЗС-39	АЗС - Хмельницької області	ДорогаРайонногоЗначення	В'їзд у місто (село)
АЗС-40	АЗС - Харківської області	ДорогаМіжнародногоЗначення	На трасі
АЗС-41	АЗС - Івано-Франківської області	ДорогаРайонногоЗначення	Виїзд з міста (села)
АЗС-42	АЗС - Львівської області	ДорогаРайонногоЗначення	Об'їзна дорога
